id,name,phone number,address,Typeofbuilding,budget,dateofcompletion,location,square feet,category
289,Komakal,9126485163,"Parijat Ban Housing Society, Pimpri Chinchwad, , Pune, Maharashtra",BusinessBuildings,10590000,11-04-2025,"Venkatesh Classic Pune, Handewadi, , Pune, Maharashtra",1650,
290,Kornai,9127265375,"F5 Aishwarya Greens, Bhekrai Nagar, , Pune, Maharashtra",BusinessBuildings,9490000,11-12-2025,"Milan Apartment, Sadashiv Peth, Perugate, , Pune, Maharashtra",1650,
291,Kothai,9124894687,"Ashoka Nagar Society, Kharadi, , Pune, Maharashtra",BusinessBuildings,12090000,11/20/2025,"Chandrarang 10 Elite, Pimple Gurav, , Pune, Maharashtra",1650,
292,Kowshika,9125472319,"Utkarsh Nagar, Hadapsar, , Pune, Maharashtra",BusinessBuildings,11090000,11/28/2025,"Kalewadi, , Pune, Maharashtra",1650,
293,Krina,9126957519,"Paranjape Saptagiri, Baner, , Pune, Maharashtra",BusinessBuildings,10790000,12-06-2025,"Magarpatta City Roystonea, Magarpatta, , Pune, Maharashtra",1650,
294,Krishnabanu,9127264968,"Gulmohar Harmony, Wanowrie, , Pune, Maharashtra",BusinessBuildings,9490000,12/14/2025,"Vilas Yashone, Pirangut, , Pune, Maharashtra",1650,
295,Krithi,9127943519,"Swarganga Society, Sant Tukaram Nagar, , Pune, Maharashtra",BusinessBuildings,9090000,12/22/2025,"Vithal muktai, Bhekrai Nagar, , Pune, Maharashtra",1650,
296,Kritu,9125482365,"Niranjan Society, Kothrud, , Pune, Maharashtra",BusinessBuildings,10890000,12/30/2025,"swapnapurti, sainagar kondhwa, , Pune, Maharashtra",1650,
297,Krupavathi,9125487926,"Shree Suryajit Apartment, Wireless Colony, , Pune, Maharashtra",BusinessBuildings,10890000,01-07-2026,"Chordia Mithras Park, Pimple Saudagar, , Pune, Maharashtra",1650,
298,Kruttika,9125314498,"tilekar nagar kondhwa bk ganpati templ near lan nu 4, , Pune, Maharashtra",BusinessBuildings,11090000,1/15/2026,"sallauddin building, Wanwadi, , Pune, Maharashtra",1650,
299,Kshipa,9125332962,"La Valle Casa, Chandni Chowk, , Pune, Maharashtra",BusinessBuildings,12190000,1/23/2026,"Sonigara Vihar, Kalewadi, , Pune, Maharashtra",1650,
300,Kshiti,9125337489,"Sankla Exclusive Vistas, Pisoli, , Pune, Maharashtra",BusinessBuildings,12190000,1/31/2026,"Kakade Park, Chinchwad, , Pune, Maharashtra",1650,
301,Kuhuk,9124386451,"sai sahnkul, Wagholi, , Pune, Maharashtra",BusinessBuildings,12090000,02-08-2026,"Ram Sita Apartment, Mandai, , Pune, Maharashtra",1650,
302,Kumkum,9124386739,"Elina Living, Mohamadwadi, , Pune, Maharashtra",BusinessBuildings,12290000,2/16/2026,"Shri Krishna Ikon, Ravet, , Pune, Maharashtra",1650,
303,Kumuthavalli,9124389105,"Goyal Shinde Apartments, Bopodi, , Pune, Maharashtra",BusinessBuildings,12190000,2/24/2026,"Kharadi, , Pune, Maharashtra",1650,
304,Kunj,9124389375,"Wellwisher Kiarah Terrazo, Hadapsar, , Pune, Maharashtra",BusinessBuildings,12090000,03-04-2026,"Khese Park, , Pune, Maharashtra",1650,
305,Kunshitha,9125349981,"bhekrai nagar fursungi, Hadapsar, , Pune, Maharashtra",BusinessBuildings,12090000,03-12-2026,"Bhujbal Shivranjan Towers, Baner, , Pune, Maharashtra",1650,
306,Kurunji,9125867667,"Parklane Premier, Wagholi, , Pune, Maharashtra",BusinessBuildings,12090000,3/20/2026,"Venkatesh Pooram Building, Katraj, , Pune, Maharashtra",1650,
307,Kusmitha,9127672586,"Bhosle Plaza, Hadapsar Gaon, , Pune, Maharashtra",BusinessBuildings,12090000,3/28/2026,"Rise Alta, Tathawade, , Pune, Maharashtra",1650,
308,Kusumitha,9124453843,"JPS Chintamani Residency, Kirkatwadi, , Pune, Maharashtra",BusinessBuildings,12090000,04-05-2026,"somnath society, Dahanukar Colony, , Pune, Maharashtra",1650,
309,Kuzhalvaimozhi,9125442958,"Shree Saimoti Enclave, Nimbalkar Nagar, , Pune, Maharashtra",BusinessBuildings,12090000,4/13/2026,"Neco Skypark, Vishal Nagar, , Pune, Maharashtra",1650,
310,Kaamachi,9193250070,"Kunal Icon CHS, Pimple Saudagar, , Pune, Maharashtra",BusinessBuildings,12090000,4/21/2026,"Kumar Sahawas, Pashan-Sus Road, , Pune, Maharashtra",1650,
311,Kaarihai,9199094606,"Kiarah Terrazo, Hadapsar, , Pune, Maharashtra",BusinessBuildings,12090000,4/29/2026,"Shree Sai Apartment, Chandan Nagar, , Pune, Maharashtra",1650,
312,Kaarniya,9126363845,"Mittal Atria, Tingre Nagar, , Pune, Maharashtra",BusinessBuildings,12090000,05-07-2026,"Kirti Castles, Lohegaon, , Pune, Maharashtra",1650,
313,Kaartiga,9123781657,"Pethkar Siyona, Punawale, , Pune, Maharashtra",BusinessBuildings,12090000,5/15/2026,"KK Meadows, Charholi, , Pune, Maharashtra",1650,
314,Kaashnika,9123781657,"KRIPA HERITAGE loni kalbhor, Ghorpade Wasti, , Pune, Maharashtra",BusinessBuildings,12090000,5/23/2026,"SSD Sai Arcade, Bhujbal Vasti, , Pune, Maharashtra",1650,
315,Kaavetha,9123781657,"A BUILDING AMOGH, KOTHRUD , Mahatma Society, , Pune, Maharashtra",BusinessBuildings,12090000,5/31/2026,"Forest County, Kharadi, , Pune, Maharashtra",1650,
316,Kaavithya,9123781657,"Aarav Sheraton, Wagholi, , Pune, Maharashtra",BusinessBuildings,12090000,06-08-2026,"Saptrang Aakash Society, Bhekrai Nagar, , Pune, Maharashtra",1650,
317,Adhiban,9120202972,"Manav Silver Springs, Wagholi, , Pune, Maharashtra",EducationalBuildings,13480000,10-05-2023,"Barsana, Salunke Vihar, , Pune, Maharashtra",1000,
318,Adhithiyan,9126863047,"Magarpatta City Roystonea, Magarpatta, , Pune, Maharashtra",EducationalBuildings,13480000,11/30/2023,"Abhijit Park, Dange Chowk, , Pune, Maharashtra",1000,
319,Adimoolam,9122860303,"Puraniks Aldea, Baner, , Pune, Maharashtra",EducationalBuildings,120000000,08-09-2023,"Pimpri Chinchwad, , Pune, Maharashtra",1000,
320,Adithyaa,9127008000,"Ganesh Park, Ambegaon Bk, , Pune, Maharashtra",EducationalBuildings,1000000000,9/30/2023,"Ideal Spacio, Undri, , Pune, Maharashtra",1000,
321,Sathasivan,9121104090,"Shri Shakti, Lohegaon, , Pune, Maharashtra",EducationalBuildings,410000000,08-03-2023,"Greenwoods Society, Dhayari, , Pune, Maharashtra",1000,
322,Sathya Raj,9126186540,"Relicon Garden Grove, Ambegaon Budruk, , Pune, Maharashtra",EducationalBuildings,11000000,7/29/2023,"Chandan Nagar, , Pune, Maharashtra",1000,
323,Sathyangan,9121151112,"Kolte Patil Downtown Langston, Ashoka Nagar, , Pune, Maharashtra",EducationalBuildings,660000000,11-11-2023,"Kumar Presidency, Meera Nagar, , Pune, Maharashtra",1000,
324,Sathyaraj,9121093008,"Sai Aangan, Thergaon, , Pune, Maharashtra",EducationalBuildings,187000000,10/24/2023,"Clover Acropolis, Viman Nagar, , Pune, Maharashtra",1600,
325,Pirnav,9120820296,"Megapolis Sangria Towers, Hinjewadi, , Pune, Maharashtra",EducationalBuildings,6300000,7/29/2023,"Phase-3 Hinjewadi , , Pune, Maharashtra",1600,
326,Pitrabhakta,9120142764,"Prime Plus 1, Pimple Saudagar, , Pune, Maharashtra",EducationalBuildings,5890000,10/31/2023,"Sheth Tiara, Wakad, , Pune, Maharashtra",1600,
327,Ponaathavan,9120030241,"Noble Vishnu Vihar, Moshi, , Pune, Maharashtra",EducationalBuildings,9000000,7/29/2023,"Paranjape Blue Ridge, Hinjewadi, , Pune, Maharashtra",1600,
328,Ponmudi,9127881591,"gaurishankar society, Anand Nagar, , Pune, Maharashtra",EducationalBuildings,10000000,9/28/2023,"Hinjewadi Phase 2, , Pune, Maharashtra",1600,
329,Geethanjana,9122797984,"Kolte Patil 24K Opula, Pimple Nilakh, , Pune, Maharashtra",EducationalBuildings,43000000,7/28/2023,"Sai Sanskruti, Wagholi, , Pune, Maharashtra",1600,
330,Geethme,9120799085,"Gopalanand Society, Fatima Nagar, , Pune, Maharashtra",EducationalBuildings,6600000,9/20/2023,"Clover Village, Wanowrie, , Pune, Maharashtra",1600,
331,Genisri,9125780984,"Venkatesh Oxy Ultima, Wagholi, , Pune, Maharashtra",EducationalBuildings,10300000,12-01-2023,"Lunkad Sky Vie, Viman Nagar, , Pune, Maharashtra",1600,
332,Ghajana,9128532780,"Saptsiddh Savali Saffron, Keshav Nagar, , Pune, Maharashtra",EducationalBuildings,7200000,08-05-2023,"Kirti Crest Avenue, Baner, , Pune, Maharashtra",1600,
333,Ghayathri,9126954600,"Magarpatta City Daffodils, Magarpatta, , Pune, Maharashtra",EducationalBuildings,16800000,11-04-2023,"Dhankawadi, , Pune, Maharashtra",1600,
334,Girijasri,9124639116,"poorna apartment, Pimpri Chinchwad, , Pune, Maharashtra",EducationalBuildings,12500000,9/30/2023,"Malkani Buena Vista, Mhada Colony, , Pune, Maharashtra",1600,
335,Githa,9120978900,"Paranjape Blue Ridge, Hinjewadi, , Pune, Maharashtra",EducationalBuildings,12390000,8/31/2024,"Aishwaryam Ventures, Akurdi, , Pune, Maharashtra",1600,
336,Gnanalia,9120515957,"ranga appartment, Katraj, , Pune, Maharashtra",EducationalBuildings,11050000,12/14/2023,"Bramhacorp F Residences, Kalyani Nagar, , Pune, Maharashtra",1600,
337,Gobiga,9120121846,"Nahar F Residences, Balewadi, , Pune, Maharashtra",EducationalBuildings,11650000,1/16/2023,"Shree Venkatesh Serenity, Dhayari, , Pune, Maharashtra",1600,
338,Gogila,9120045357,"Castle World, Aundh, , Pune, Maharashtra",EducationalBuildings,10500000,03-11-2023,"Aum Sanskruti Casa Imperia, Wakadkar Wasti, , Pune, Maharashtra",1600,
339,Gokilavani,9120419171,"Vision Boulevard, Pimple Saudagar, , Pune, Maharashtra",EducationalBuildings,11250000,12-06-2023,"Royal Sai Crest, Wakad, , Pune, Maharashtra",1600,
340,Gomya,9120087786,"Agnipankh Apartment, Talegaon Dabhade, , Pune, Maharashtra",EducationalBuildings,9990000,12/17/2023,"Ajmera Housing Society, Pimpri Chinchwad, , Pune, Maharashtra",1600,
341,Goseka,9120409405,"ARV Royale, Handewadi, , Pune, Maharashtra",EducationalBuildings,11950000,8/18/2023,"Balewadi, , Pune, Maharashtra",1600,
342,Govarshnie,9900300049,"Gandhi Bafna Ayaan, Wagholi, , Pune, Maharashtra",EducationalBuildings,958320,8/20/2023,"Kolte Patil Downtown Langston, Ashoka Nagar, , Pune, Maharashtra",1600,
343,Gowmathy,9914505067,"Brahma Aangan, Kondhwa, , Pune, Maharashtra",EducationalBuildings,330680,8/26/2023,"Nisarg Hardik phase 2, Rahatani, , Pune, Maharashtra",1600,
344,Gowra,9901220119,"Harshada Samarth, Pimple Saudagar, , Pune, Maharashtra",EducationalBuildings,152460,7/30/2023,"Morya Park, Pimpri Chinchwad, , Pune, Maharashtra",1600,
345,Gowrika,9910111196,"Monica Housing Society, Pimpri, , Pune, Maharashtra",EducationalBuildings,1062600,6/23/2023,"Karishma Heritage, Pimpri Chinchwad, , Pune, Maharashtra",1600,
346,Gowry,9128756866,"Barsana, Salunke Vihar, , Pune, Maharashtra",EducationalBuildings,12090000,6/17/2023,"Tanishq Apartment, Kharadi, , Pune, Maharashtra",1600,
347,Gowshmi,9923434009,"Abhijit Park, Dange Chowk, , Pune, Maharashtra",EducationalBuildings,479160,10/21/2023,"Shiv Amrut CHS , Kothrud, , Pune, Maharashtra",1600,
348,Gowthamy,9109212140,"Pimpri Chinchwad, , Pune, Maharashtra",EducationalBuildings,588000,09-01-2023,"Daulat Nagar Apartments, Anand Nagar, , Pune, Maharashtra",1600,
349,Greeshna,9129862728,"Ideal Spacio, Undri, , Pune, Maharashtra",EducationalBuildings,11950000,09-09-2023,"Kanchan Comfortz, Yewalewadi, , Pune, Maharashtra",1600,
350,Grushani,9126118944,"Greenwoods Society, Dhayari, , Pune, Maharashtra",EducationalBuildings,14590000,9/17/2023,"Anant Apartment, Dattawadi, , Pune, Maharashtra",1600,
351,Gunasha,9128057873,"Chandan Nagar, , Pune, Maharashtra",EducationalBuildings,11490000,9/25/2023,"Prem Mairah Residences, Hinjewadi, , Pune, Maharashtra",1600,
352,Gungan,9100912345,"Kumar Presidency, Meera Nagar, , Pune, Maharashtra",EducationalBuildings,4782523,10-03-2023,"On Req, Aundh, , Pune, Maharashtra",1800,
353,Gyaneshwari,9124256387,"Clover Acropolis, Viman Nagar, , Pune, Maharashtra",EducationalBuildings,11940000,10-11-2023,"Dhanori, , Pune, Maharashtra",1800,
354,Haima,9108557666,"Phase-3 Hinjewadi , , Pune, Maharashtra",EducationalBuildings,702324,10/19/2023,"Vedant Kingston Serene, Handewadi, , Pune, Maharashtra",1800,
355,Haley,9108525152,"Sheth Tiara, Wakad, , Pune, Maharashtra",EducationalBuildings,2110020,10/27/2023,"Nyati Erica, Undri, , Pune, Maharashtra",1800,
356,Hamsadeepika,9109878884,"Paranjape Blue Ridge, Hinjewadi, , Pune, Maharashtra",EducationalBuildings,702324,11-04-2023,"Legacy Aqua Marina, Ravet, , Pune, Maharashtra",1800,
357,Hamshana,9128106741,"Hinjewadi Phase 2, , Pune, Maharashtra",EducationalBuildings,9590000,11-12-2023,"Supriya Apartments,Sangharsh, Chandan Nagar, , Pune, Maharashtra",1800,
358,Haneesha,9104821718,"Sai Sanskruti, Wagholi, , Pune, Maharashtra",EducationalBuildings,702324,11/20/2023,"Kumar Samruddhi, Tingre Nagar, , Pune, Maharashtra",1800,
359,Jimisha,9100414433,"Clover Village, Wanowrie, , Pune, Maharashtra",EducationalBuildings,430000,11/28/2023,"waves hsg soc, Pune Nagar Road, , Pune, Maharashtra",1800,
360,Jinitha,9197481413,"Lunkad Sky Vie, Viman Nagar, , Pune, Maharashtra",EducationalBuildings,538560,12-06-2023,"Ratan Park Phase 12, Pashan-Sus Road, , Pune, Maharashtra",1800,
361,Jinuthra,9100457071,"Kirti Crest Avenue, Baner, , Pune, Maharashtra",EducationalBuildings,468000,12/14/2023,"Kolte Patil Umang Primo, Wagholi, , Pune, Maharashtra",1800,
362,Jishnutha,9120170571,"Dhankawadi, , Pune, Maharashtra",EducationalBuildings,9490000,12/22/2023,"Jhala Manjri Greens Phase 2, Manjri, , Pune, Maharashtra",1800,
363,Jivitha,9192085756,"Malkani Buena Vista, Mhada Colony, , Pune, Maharashtra",EducationalBuildings,607200,12/30/2023,"Sukhwani Udyan, Bhat Nagar, , Pune, Maharashtra",1800,
364,Johinie,9109720100,"Aishwaryam Ventures, Akurdi, , Pune, Maharashtra",EducationalBuildings,1658389,01-07-2024,"Bramha Sky City, Dhanori, , Pune, Maharashtra",1800,
365,Joothika,9108560100,"Bramhacorp F Residences, Kalyani Nagar, , Pune, Maharashtra",EducationalBuildings,1351020,1/15/2024,"Megapolis Symphony, Hinjewadi, , Pune, Maharashtra",1800,
366,Joshmitha,9101665580,"Shree Venkatesh Serenity, Dhayari, , Pune, Maharashtra",EducationalBuildings,914139,1/23/2024,"Hadapsar, , Pune, Maharashtra",1800,
367,Josthna,9120908940,"Aum Sanskruti Casa Imperia, Wakadkar Wasti, , Pune, Maharashtra",EducationalBuildings,9990000,1/31/2024,"Shree Radhika Regency, Dighi, , Pune, Maharashtra",1800,
368,Jothirsha,9124067820,"Royal Sai Crest, Wakad, , Pune, Maharashtra",EducationalBuildings,15990000,02-08-2024,"Goel Amrut Ganga, Niranjan Park, , Pune, Maharashtra",1800,
369,Jothysri,9129950110,"Ajmera Housing Society, Pimpri Chinchwad, , Pune, Maharashtra",EducationalBuildings,14550000,2/16/2024,"Paranjape Blue Ridge, Hinjewadi, , Pune, Maharashtra",1800,
370,Jruthvikaa,9126887868,"Balewadi, , Pune, Maharashtra",EducationalBuildings,30790000,2/24/2024,"SECTOR 4, Sector No-4 Moshi, , Pune, Maharashtra",1800,
371,Junaitha,9125333919,"Kolte Patil Downtown Langston, Ashoka Nagar, , Pune, Maharashtra",EducationalBuildings,20990000,03-03-2024,"Fili Villa, Laxman Nagar, , Pune, Maharashtra",1300,
372,Juthi,9125789102,"Nisarg Hardik phase 2, Rahatani, , Pune, Maharashtra",EducationalBuildings,15890000,03-11-2024,"Devraj Complex, Ambegaon Budruk, , Pune, Maharashtra",1300,
373,Juvethiga,9129936226,"Morya Park, Pimpri Chinchwad, , Pune, Maharashtra",EducationalBuildings,12090000,3/19/2024,"DS Girivihar, Siddartha Nagar, , Pune, Maharashtra",1300,
374,Kaalanjari,9128530180,"Karishma Heritage, Pimpri Chinchwad, , Pune, Maharashtra",EducationalBuildings,11190000,3/27/2024,"Kumar Pride, Mukund Nagar, , Pune, Maharashtra",1300,
375,Kaamika,9127858658,"Tanishq Apartment, Kharadi, , Pune, Maharashtra",EducationalBuildings,16590000,04-04-2024,"Casa Imperial, Hinjewadi, , Pune, Maharashtra",1300,
376,Kaamya,9127831909,"Shiv Amrut CHS , Kothrud, , Pune, Maharashtra",EducationalBuildings,10790000,04-12-2024,"TCG The Cliff Garden, Phase-3 Hinjewadi , , Pune, Maharashtra",1300,
377,Kaarmugil,9124765443,"Daulat Nagar Apartments, Anand Nagar, , Pune, Maharashtra",EducationalBuildings,17390000,4/20/2024,"Sujay Residency, Moshi, , Pune, Maharashtra",1300,
378,Kaasni,9128090873,"Kanchan Comfortz, Yewalewadi, , Pune, Maharashtra",EducationalBuildings,18990000,4/28/2024,"Shri. Gagangiri High Street, Baner, , Pune, Maharashtra",1300,
379,Kaavyanjali,9126525943,"Anant Apartment, Dattawadi, , Pune, Maharashtra",EducationalBuildings,11890000,05-06-2024,"Yashwin Apartment, Hinjewadi, , Pune, Maharashtra",1300,
380,Kadambini,9192448265,"Prem Mairah Residences, Hinjewadi, , Pune, Maharashtra",EducationalBuildings,234498,5/14/2024,"Wagholi, , Pune, Maharashtra",1300,
381,Kahini,9127570254,"On Req, Aundh, , Pune, Maharashtra",EducationalBuildings,8990000,5/22/2024,"MSR Olive, Dattanagar, , Pune, Maharashtra",1300,
382,Kaishori,9192068254,"Dhanori, , Pune, Maharashtra",EducationalBuildings,406922,5/30/2024,"Surya Ganga Society, Dhayari, , Pune, Maharashtra",1300,
383,Kajana,9192106431,"Vedant Kingston Serene, Handewadi, , Pune, Maharashtra",EducationalBuildings,268982,06-07-2024,"Udyog Nagar, , Pune, Maharashtra",1300,
384,Kajol,9192236359,"Nyati Erica, Undri, , Pune, Maharashtra",EducationalBuildings,268982,6/15/2024,"Raviraj Aureate, Pimple Saudagar, , Pune, Maharashtra",1300,
385,Kala Devi,9192344961,"Legacy Aqua Marina, Ravet, , Pune, Maharashtra",EducationalBuildings,227600,6/23/2024,"SK Om Paradise, Kiwale, , Pune, Maharashtra",1300,
386,Kalaikodi,9192396083,"Supriya Apartments, Chandan Nagar, , Pune, Maharashtra",EducationalBuildings,241394,07-01-2024,"Punit Apartment, Narayan Peth, , Pune, Maharashtra",1300,
387,Kalaineri,9192893978,"Kumar Samruddhi, Tingre Nagar, , Pune, Maharashtra",EducationalBuildings,213806,07-09-2024,"Arunodaya society, Sasane Nagar, , Pune, Maharashtra",1300,
388,Kalaipoongulal,9192047032,"waves hsg soc, Pune Nagar Road, , Pune, Maharashtra",EducationalBuildings,337952,7/17/2024,"Gulmohar Nest, Viman Nagar, , Pune, Maharashtra",1300,
389,Kalaithulir,9192077391,"Ratan Park Phase 12, Pashan-Sus Road, , Pune, Maharashtra",EducationalBuildings,393128,7/25/2024,"Anand Residancy, Madhav Nagar, , Pune, Maharashtra",1300,
390,Kalamanjiiraranjini,9192104553,"Kolte Patil Umang Primo, Wagholi, , Pune, Maharashtra",EducationalBuildings,255188,08-02-2024,"Puraniks Aldea, Baner, , Pune, Maharashtra",1300,
391,Kalavati,9192248730,"Jhala Manjri Greens Phase 2, Manjri, , Pune, Maharashtra",EducationalBuildings,241394,08-10-2024,"Shriram Colony, Wakad, , Pune, Maharashtra",1300,
392,Kalita,9192370259,"Sukhwani Udyan, Bhat Nagar, , Pune, Maharashtra",EducationalBuildings,255188,8/18/2024,"Pharande Puneville, Punawale, , Pune, Maharashtra",1300,
393,Kalpavalli,9192497085,"Bramha Sky City, Dhanori, , Pune, Maharashtra",EducationalBuildings,227600,8/26/2024,"Sanskruti Jardin, Baner, , Pune, Maharashtra",1300,
394,Kalyani,9128940714,"Megapolis Symphony, Hinjewadi, , Pune, Maharashtra",EducationalBuildings,7290000,09-03-2024,"Borate Vasti, , Pune, Maharashtra",1300,
395,Kamala Sambhava,9126979194,"Hadapsar, , Pune, Maharashtra",EducationalBuildings,16890000,09-11-2024,"Anand Sagar Vihar, Ravet, , Pune, Maharashtra",1300,
396,Kamalini,9126954502,"Shree Radhika Regency, Dighi, , Pune, Maharashtra",EducationalBuildings,10790000,9/19/2024,"Nano Homes, Ravet, , Pune, Maharashtra",1300,
397,Kamili,9128099073,"Goel Amrut Ganga, Niranjan Park, , Pune, Maharashtra",EducationalBuildings,10890000,9/27/2024,"Laxmi Towers, Manjari Budruk, , Pune, Maharashtra",1300,
398,Kamsa,9122165792,"Paranjape Blue Ridge, Hinjewadi, , Pune, Maharashtra",EducationalBuildings,26090000,10-05-2024,"Pimpri Chinchwad, , Pune, Maharashtra",1300,
399,Kanakabati,9125678674,"SECTOR 4, Sector No-4 Moshi, , Pune, Maharashtra",EducationalBuildings,19990000,10/13/2024,"Shankar society bharati vidyapeeth, Bharati Vidyapeeth, , Pune, Maharashtra",1300,
400,Kanaklata,9124702058,"Fili Villa, Laxman Nagar, , Pune, Maharashtra",EducationalBuildings,17490000,10/21/2024,"Satavwadi, , Pune, Maharashtra",1300,
401,Kandhal,9127978638,"Devraj Complex, Ambegaon Budruk, , Pune, Maharashtra",EducationalBuildings,11290000,10/29/2024,"Bunty Mayur Kilbil, Dhanori, , Pune, Maharashtra",1300,
402,Kaniamuthu,9126941945,"DS Girivihar, Siddartha Nagar, , Pune, Maharashtra",EducationalBuildings,11990000,11-06-2024,"Kolte Patil Life Republic, Hinjewadi, , Pune, Maharashtra",1300,
403,Kanira,9121332572,"Kumar Pride, Mukund Nagar, , Pune, Maharashtra",EducationalBuildings,57750000,11/14/2024,"Jagtap Patil Sai Laurel Park, Pimple Gurav, , Pune, Maharashtra",1300,
404,Kaniya,9123803009,"Casa Imperial, Hinjewadi, , Pune, Maharashtra",EducationalBuildings,57550000,11/22/2024,"Atul housing society Ajmera Masulkar Colony, Masulkar colony Ajmera pimpri, , Pune, Maharashtra",1300,
405,Kankangi,9125888964,"TCG The Cliff Garden, Phase-3 Hinjewadi , , Pune, Maharashtra",EducationalBuildings,17950000,11/30/2024,"Vaishnavi Sahil Vighnesh Residency, Wakad, , Pune, Maharashtra",1300,
406,Kannmani,9106565051,"Sujay Residency, Moshi, , Pune, Maharashtra",EducationalBuildings,1092507,12-08-2024,"Elite Dreams, Hadapsar, , Pune, Maharashtra",1300,
407,Kanthayai,9106556061,"Shri. Gagangiri High Street, Baner, , Pune, Maharashtra",EducationalBuildings,869547,12/16/2024,"Kumar Pebble Park, Hadapsar, , Pune, Maharashtra",1300,
408,Kanvi,9106550999,"Yashwin Apartment, Hinjewadi, , Pune, Maharashtra",EducationalBuildings,1047420,12/24/2024,"Digambarwadi, Warje Malwadi, , Pune, Maharashtra",1300,
409,Kapila,9106551199,"Wagholi, , Pune, Maharashtra",EducationalBuildings,1890000,01-01-2025,"Silver Gardenia, Ravet, , Pune, Maharashtra",1300,
410,Karampreet,9106554411,"MSR Olive, Dattanagar, , Pune, Maharashtra",EducationalBuildings,2490000,01-09-2025,"Dorabjee Classic, Koregaon Park, , Pune, Maharashtra",1300,
411,Karisma,9106551133,"Surya Ganga Society, Dhayari, , Pune, Maharashtra",EducationalBuildings,1890000,1/17/2025,"shapura Society, Karve Nagar, , Pune, Maharashtra",1300,
412,Karona,9126966249,"Udyog Nagar, , Pune, Maharashtra",EducationalBuildings,12290000,1/25/2025,"Neha Classic, Kondhwa Budruk, , Pune, Maharashtra",1300,
413,Kartika,9106609080,"Raviraj Aureate, Pimple Saudagar, , Pune, Maharashtra",EducationalBuildings,1832186,02-02-2025,"Handball stedium, , Pune, Maharashtra",1300,
414,Karulnila,9126989850,"SK Om Paradise, Kiwale, , Pune, Maharashtra",EducationalBuildings,18690000,02-10-2025,"Om Sadabahar Complex, Fatima Nagar, , Pune, Maharashtra",1300,
415,Karuththamaal,9106572200,"Punit Apartment, Narayan Peth, , Pune, Maharashtra",EducationalBuildings,1461361,2/18/2025,"RKD APARTMENT, Pimple Gurav, , Pune, Maharashtra",1300,
416,Kashtha,9123773733,"Arunodaya society, Sasane Nagar, , Pune, Maharashtra",EducationalBuildings,109290000,2/26/2025,"Siddhi The Address, Moshi, , Pune, Maharashtra",1300,
417,Kasmira,9128380370,"Gulmohar Nest, Viman Nagar, , Pune, Maharashtra",EducationalBuildings,15950000,03-06-2025,"Goel Ganga Cypress, Tathawade, , Pune, Maharashtra",1300,
418,Katelyn,9125795070,"Anand Residancy, Madhav Nagar, , Pune, Maharashtra",EducationalBuildings,22950000,3/14/2025,"Sadguru Park Apartment, Bibwewadi, , Pune, Maharashtra",1300,
419,Katrina,9127629793,"Puraniks Aldea, Baner, , Pune, Maharashtra",EducationalBuildings,11490000,3/22/2025,"Sadashiv Peth, , Pune, Maharashtra",1300,
420,Kaushalya,9194704005,"Shriram Colony, Wakad, , Pune, Maharashtra",EducationalBuildings,1147080,3/30/2025,"Shivsagar City Phase 1, Anand Nagar, , Pune, Maharashtra",1300,
421,Kavana,9191935101,"Pharande Puneville, Punawale, , Pune, Maharashtra",EducationalBuildings,679800,04-07-2025,"Venkatesh Oxy Evolve, Wagholi, , Pune, Maharashtra",1300,
422,Kaviarasi,9191944226,"Sanskruti Jardin, Baner, , Pune, Maharashtra",EducationalBuildings,501600,4/15/2025,"Pride Long Island, Charholi, , Pune, Maharashtra",1300,
423,Kavina,9191944296,"Borate Vasti, , Pune, Maharashtra",EducationalBuildings,394680,4/23/2025,"Gaurinandan park, Shahunagar, , Pune, Maharashtra",1300,
424,Kavinthala,9100474441,"Anand Sagar Vihar, Ravet, , Pune, Maharashtra",EducationalBuildings,880693,05-01-2025,"The Omega Paradise Phase 1, Shankar Kalat Nagar, , Pune, Maharashtra",1300,
425,Kavishaya,9123503104,"Nano Homes, Ravet, , Pune, Maharashtra",EducationalBuildings,28450000,05-09-2025,"Shahu Colony, Karve Nagar, , Pune, Maharashtra",1300,
426,Kavithana,9126838018,"Laxmi Towers, Manjari Budruk, , Pune, Maharashtra",EducationalBuildings,14750000,5/17/2025,"Kolte Patil 24K Glitterati, Pimple Nilakh, , Pune, Maharashtra",1300,
427,Kaviyamangai,9122163148,"Pimpri Chinchwad, , Pune, Maharashtra",EducationalBuildings,23490000,5/25/2025,"Ashtavinayak Aster, Wagholi, , Pune, Maharashtra",1300,
428,Kaviyutha,9192374787,"Shankar society bharati vidyapeeth, Bharati Vidyapeeth, , Pune, Maharashtra",EducationalBuildings,514800,06-02-2025,"Kondhwa Budruk, , Pune, Maharashtra",1300,
429,Kavyasree,9190077092,"Satavwadi, , Pune, Maharashtra",EducationalBuildings,316800,06-10-2025,"Laxmi Heights, Wakad, Wakad, , Pune, Maharashtra",1300,
430,Kayra,9195650575,"Bunty Mayur Kilbil, Dhanori, , Pune, Maharashtra",EducationalBuildings,1790000,6/18/2025,"Ganga Florentina, NIBM, , Pune, Maharashtra",1300,
